======================================================================
SIMPLIFIED TABLE: SITE CODE | SITE NAME | OFFERING STAND
======================================================================
Site Code    Site Name          Stand   
----------------------------------------------------------------------
AD1          Allahdino          n/a     
AD2          Allahdino          n/a     
AD3          Allahdino          44      
AD4          Allahdino          40      
AD5          Allahdino          n/a     
B1           Banawali           50      
B2           Banawali           28a     
B3           Banawali           52      
BLK1         Balakot            n/a     
BLK2         Balakot            n/a     
BLK3         Balakot            54      
BLK4         Balakot            53      
BSR 2037     Bagasra            25      
BSR 5555     Bagasra            101     
BSR 6719     Bagasra            102     
BSR 6952     Bagasra            103     
BSR 7197     Bagasra            104     
BSR 7368     Bagasra            n/a     
BSR 8288     Bagasra            104     
C1           Chanhu-daro        n/a     
C10          Chanhu-daro        17      
C11          Chanhu-daro        n/a     
C12          Chanhu-daro        44      
C13          Chanhu-daro        31      
C14          Chanhu-daro        n/a     
C15          Chanhu-daro        n/a     
C16          Chanhu-daro        25      
C17          Chanhu-daro        44      
C18          Chanhu-daro        n/a     
C19          Chanhu-daro        n/a     
C2           Chanhu-daro        14      
C20          Chanhu-daro        25      
C21          Chanhu-daro        25      
C3           Chanhu-daro        14      
C4           Chanhu-daro        n/a     
C5           Chanhu-daro        15      
C6           Chanhu-daro        n/a     
C7           Chanhu-daro        n/a     
C8           Chanhu-daro        40      
C9           Chanhu-daro        43      
DHR-345      Dholavira          114     
DHR-346      Dholavira          32      
DHR-347      Dholavira          10      
DHR-348      Dholavira          n/a     
DHR-349      Dholavira          81      
DLV-1        Dholavira          4a      
FMA1         Farmana            105     
FMA2         Farmana            52      
H1           Harappa            20      
H10          Harappa            57      
H102         Harappa            53      
H1020        Harappa            1b      
H1021        Harappa            n/a     
H1022        Harappa            39d     
H1024        Harappa            1       
H1025        Harappa            73      
H1029        Harappa            55      
H1030        Harappa            48      
H1032        Harappa            30      
H1033        Harappa            n/a     
H1035        Harappa            44      
H1037        Harappa            25      
H1038        Harappa            n/a     
H1039        Harappa            25      
H1046        Harappa            n/a     
H1047        Harappa            30      
H1048        Harappa            1       
H1050        Harappa            61b     
H1051        Harappa            44      
H11          Harappa            56b     
H12          Harappa            38      
H13          Harappa            39      
H14          Harappa            16      
H15          Harappa            58      
H16          Harappa            59      
H1657        Harappa            73      
H1660        Harappa            n/a     
H1662        Harappa            n/a     
H1663        Harappa            n/a     
H1664        Harappa            67b     
H1666        Harappa            67      
H1667        Harappa            39d     
H1669        Harappa            72      
H1670        Harappa            34      
